Fl_insurance ,,,,,,,,,,,,,,
,,,EA,HU,FL,FR,2011,2012,EQ,HU,FL,FR,LATI,LONGI
525138,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,125938.17,0,0,0,0,30.17501,-82.66205
923627,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,64169.8,0,0,0,0,30.174776,-82.662277
619743,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,80898.23,0,0,0,0,30.17476,-82.66251
910727,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,91244.65,0,0,0,0,30.1745,-82.66205
363647,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,92333.77,0,0,0,0,30.17447,-82.66251
512519,FL,COLUMBIA COUNTY,0,101009.36,0,0,101009.36,98181.1,0,0,0,0,30.17417,-82.66218
904304,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,66272.56,0,0,0,0,30.17451,-82.66351
835349,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,99945.87,0,0,0,0,30.17475,-82.66314
891725,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,139415.11,0,0,0,0,30.17514,-82.66341
923503,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,106664.4,0,0,0,0,30.17474,-82.66348
292347,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,115117.07,0,0,0,0,30.17664,-82.66314
363828,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,216561.94,0,0,0,0,30.17638,-82.66314
110490,FL,COLUMBIA COUNTY,0,91764.15,0,0,91764.15,70364.02,0,0,0,0,30.17623,-82.66406
480733,FL,COLUMBIA COUNTY,0,457854.5,0,0,457854.5,345588.57,0,0,0,0,30.17698,-82.67019
993346,FL,COLUMBIA COUNTY,0,385480.82,0,0,385480.82,558330.42,0,0,0,0,30.174486,-82.671326
934992,FL,ST  JOHNS COUNTY,0,213596.46,0,0,213596.46,190329.82,0,0,0,0,29.7917,-81.4271
645841,FL,ST  JOHNS COUNTY,0,1051338.42,0,0,1051338.42,1069841.98,0,0,0,0,29.7917,-81.4271
747846,FL,ST  JOHNS COUNTY,0,6472.62,0,0,6472.62,9957.87,0,0,0,0,29.7917,-81.4271
482457,FL,ST  JOHNS COUNTY,0,159041.52,0,0,159041.52,249984.64,0,0,0,0,29.776566,-81.47171
574787,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,19024.97,0,0,0,0,29.776566,-81.47171
831418,FL,ST  JOHNS COUNTY,0,29589.12,0,0,29589.12,35207.53,0,0,0,0,29.776566,-81.47171
968562,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,16859.05,0,0,0,0,29.776566,-81.47171
576324,FL,ST  JOHNS COUNTY,29061,29061,29061,29061,29061,40749.33,0,0,0,0,29.7255,-81.466309
290435,FL,ST  JOHNS COUNTY,48087,48087,48087,48087,48087,68008.1,0,0,0,0,29.7255,-81.466309
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,133425.18,0,0,0,0,29.7255,-81.466309
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,168246.71,0,0,0,0,29.7255,-81.466309
497414,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,176279.14,0,0,0,0,29.7255,-81.466309
340883,FL,ST  JOHNS COUNTY,4968,4968,4968,4968,4968,5265.92,0,0,0,0,29.7255,-81.466309
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,157005,157005,131774.3,0,3140.1,0,0,29.7255,-81.466309
670595,FL,ST  JOHNS COUNTY,459,459,459,459,459,847.36,0,0,0,0,29.7255,-81.466309
194101,FL,ST  JOHNS COUNTY,459,459,459,459,459,428.69,0,0,0,0,29.7255,-81.466309
167200,FL,ST  JOHNS COUNTY,1062,1062,1062,1062,1062,1602.72,0,0,0,0,29.7255,-81.466309
139064,FL,ST  JOHNS COUNTY,2304,2304,2304,2304,2304,2474.16,0,0,0,0,29.7255,-81.466309
846636,FL,ST  JOHNS COUNTY,1476,1476,1476,1476,1476,1935.04,0,0,0,0,29.7255,-81.466309
310177,FL,NASSAU COUNTY,185040,185040,185040,185040,185040,313975.87,0,0,0,0,30.57332,-81.45291
865452,FL,NASSAU COUNTY,0,11095.92,0,0,11095.92,11961.62,0,0,0,0,30.67464,-81.46114
783429,FL,NASSAU COUNTY,0,8321.94,0,0,8321.94,9646.79,0,0,0,0,30.67464,-81.46114
878060,FL,NASSAU COUNTY,0,199726.56,0,0,199726.56,277743.75,0,0,0,0,30.67423,-81.46052
935342,FL,NASSAU COUNTY,0,118356.48,0,0,118356.48,182860.76,0,0,0,0,30.67423,-81.46052
456376,FL,NASSAU COUNTY,0,17568.54,0,0,17568.54,29936.79,0,0,0,0,30.67423,-81.46052
363001,FL,NASSAU COUNTY,0,147945.6,0,147945.6,147945.6,238338.59,0,0,0,0,30.67453,-81.46016
478864,FL,NASSAU COUNTY,0,724933.44,0,0,724933.44,767347.85,0,0,0,0,30.67513,-81.44708
600402,FL,NASSAU COUNTY,0,8284485.6,0,0,8284485.6,8073943.68,0,0,0,0,30.64687,-81.45801
483983,FL,NASSAU COUNTY,438498,438498,0,0,438498,636264.11,0,0,0,0,30.650143,-81.454407
991615,FL,NASSAU COUNTY,0,99960.9,0,0,99960.9,88679.21,0,0,0,0,30.6202,-81.4719
644573,FL,NASSAU COUNTY,0,669692.78,0,0,669692.78,841130.78,0,0,0,0,30.576765,-81.453979
853278,FL,NASSAU COUNTY,0,240539.39,0,0,240539.39,412765.59,0,0,0,0,30.576765,-81.453979
100658,FL,NASSAU COUNTY,0,331518.28,0,0,331518.28,464703.76,0,0,0,0,30.6202,-81.4719
433115,FL,NASSAU COUNTY,0,5919.86,0,0,5919.86,9839.94,0,0,0,0,30.576765,-81.453979
760337,FL,NASSAU COUNTY,0,77426.73,0,0,77426.73,73196.13,0,0,0,0,30.61988,-81.46815
884738,FL,NASSAU COUNTY,0,765763.8,0,0,765763.8,735948.78,0,0,0,0,30.576765,-81.453979
610102,FL,NASSAU COUNTY,0,7532014.45,0,0,7532014.45,10710000,0,0,0,0,30.671095,-81.462097
830823,FL,NASSAU COUNTY,0,963962.79,0,0,963962.79,977226.92,0,0,0,0,30.67,-81.462
618364,FL,NASSAU COUNTY,0,121066.57,0,0,121066.57,115414.7,0,0,0,0,30.596535,-81.546837
712563,FL,NASSAU COUNTY,0,70964.84,0,0,70964.84,72362.85,0,0,0,0,30.596535,-81.546837
493030,FL,NASSAU COUNTY,0,755749,0,0,755749,658571.77,0,0,0,0,30.57326,-81.45367
188150,FL,NASSAU COUNTY,0,2162232,0,2162232,2162232,2520816.55,0,0,0,0,30.65372,-81.45105
589642,FL,NASSAU COUNTY,0,615141.68,0,0,615141.68,895926.17,0,0,0,0,30.63945,-81.455553
846109,FL,NASSAU COUNTY,0,135000,0,135000,135000,138827.52,0,4050,0,0,30.570326,-81.451576
399079,FL,NASSAU COUNTY,0,161748,0,161748,161748,235301.93,0,0,0,0,30.5708,-81.44959
680135,FL,NASSAU COUNTY,0,164484,0,164484,164484,194814.85,0,0,0,0,30.5708,-81.44959
621379,FL,NASSAU COUNTY,0,170532,0,170532,170532,178465.15,0,0,0,0,30.571087,-81.448578
606710,FL,NASSAU COUNTY,0,181980,0,181980,181980,181216.05,0,5459.4,0,0,30.570854,-81.448212
443319,FL,NASSAU COUNTY,0,181980,0,181980,181980,151151.13,0,5459.4,0,0,30.571154,-81.448433
228591,FL,NASSAU COUNTY,0,186012,0,186012,186012,176389.97,0,0,0,0,30.5708,-81.44959
721610,FL,NASSAU COUNTY,0,192348,0,192348,192348,210005.55,0,0,0,0,30.571323,-81.450188
507395,FL,NASSAU COUNTY,0,197604,0,197604,197604,203450.71,0,0,0,0,30.570711,-81.448067
213399,FL,NASSAU COUNTY,0,198468,0,198468,198468,202538.58,0,0,0,0,30.571777,-81.449326
579400,FL,NASSAU COUNTY,0,198612,0,198612,198612,226675.88,0,0,0,0,30.5716,-81.45134
509951,FL,NASSAU COUNTY,0,200052,0,200052,200052,335395.98,0,0,0,0,30.57098,-81.44838
930798,FL,NASSAU COUNTY,0,201276,0,201276,201276,216909.11,0,0,0,0,30.571613,-81.450577
729247,FL,NASSAU COUNTY,0,207324,0,207324,207324,252344.61,0,0,0,0,30.5708,-81.44959
288344,FL,NASSAU COUNTY,0,208836,0,208836,208836,310058.81,0,0,0,0,30.5708,-81.44959
275351,FL,NASSAU COUNTY,0,212436,0,212436,212436,225030.91,0,0,0,0,30.57164,-81.450279
976690,FL,NASSAU COUNTY,0,218052,0,218052,218052,332681.94,0,0,0,0,30.571306,-81.45015
507111,FL,NASSAU COUNTY,0,218412,0,218412,218412,222125,0,0,0,0,30.571608,-81.450661
547458,FL,NASSAU COUNTY,0,221076,0,221076,221076,277280.37,0,0,0,0,30.571609,-81.450615
827732,FL,NASSAU COUNTY,0,226764,0,226764,226764,303833.37,0,0,0,0,30.571665,-81.450089
229489,FL,NASSAU COUNTY,0,237132,0,237132,237132,282225.02,0,0,0,0,30.571615,-81.450531
175251,FL,NASSAU COUNTY,0,239652,0,239652,239652,178583.88,0,0,0,0,30.571812,-81.448822
590043,FL,NASSAU COUNTY,0,245052,0,245052,245052,241166.46,0,0,0,0,30.571596,-81.450874
476037,FL,NASSAU COUNTY,0,245052,0,245052,245052,306551.23,0,0,0,0,30.5708,-81.44959
674960,FL,NASSAU COUNTY,0,257868,0,257868,257868,338372.33,0,0,0,0,30.57086,-81.448174
743790,FL,NASSAU COUNTY,0,6381518.4,0,6381518.4,6381518.4,8757880.98,0,0,0,0,30.570326,-81.451576
817283,FL,NASSAU COUNTY,0,15390000,0,15390000,15390000,11790000,0,461349,0,0,30.570221,-81.451309
201980,FL,NASSAU COUNTY,235696.5,235696.5,235696.5,235696.5,235696.5,353171.41,0,0,0,0,30.64448,-81.45489
351505,FL,NASSAU COUNTY,18000,18000,18000,18000,18000,16830,0,540,0,0,30.653568,-81.449318
798806,FL,NASSAU COUNTY,1772074.8,1772074.8,1772074.8,1772074.8,1772074.8,1768133.71,0,0,0,0,30.65118,-81.44969
153643,FL,NASSAU COUNTY,95922,95922,95922,95922,95922,150073.42,0,0,0,0,30.65118,-81.44969
683653,FL,NASSAU COUNTY,20763,20763,20763,20763,20763,20966.31,0,0,0,0,30.65118,-81.44969
475264,FL,NASSAU COUNTY,0,16560000,0,0,16560000,20610000,0,497691,0,0,30.639568,-81.442482
912944,FL,NASSAU COUNTY,0,582759.1,0,0,582759.1,1020490.44,0,0,0,0,30.59491,-81.539909
945134,FL,NASSAU COUNTY,0,2244.53,0,0,2244.53,2937.46,0,0,0,0,30.59491,-81.539909
219959,FL,NASSAU COUNTY,0,196396.18,0,0,196396.18,190425.74,0,0,0,0,30.59491,-81.539909
793504,FL,NASSAU COUNTY,0,21500.33,0,0,21500.33,19687.96,0,0,0,0,30.6119,-81.455986
450423,FL,NASSAU COUNTY,0,74091.86,0,0,74091.86,110035.31,0,0,0,0,30.596535,-81.546837
505178,FL,NASSAU COUNTY,0,86863.23,0,0,86863.23,123807.2,0,0,0,0,30.596535,-81.546837
408688,FL,NASSAU COUNTY,0,796134.02,0,0,796134.02,838972.4,0,0,0,0,30.66665,-81.45235
477759,FL,NASSAU COUNTY,0,298522.2,0,0,298522.2,227585.86,0,0,0,0,30.657654,-81.463341
882441,FL,NASSAU COUNTY,0,23118.64,0,0,23118.64,23505.92,0,0,0,0,30.65838,-81.46358
727602,FL,NASSAU COUNTY,0,63407.91,0,0,63407.91,78862,0,0,0,0,30.617165,-81.461609
313226,FL,NASSAU COUNTY,0,285728.39,0,0,285728.39,288837.12,0,0,0,0,30.617874,-81.457794
337027,FL,NASSAU COUNTY,0,9016.27,0,0,9016.27,9045.12,0,0,0,0,30.663744,-81.453941
649251,FL,NASSAU COUNTY,0,80915.23,0,0,80915.23,98214.9,0,0,0,0,30.67024,-81.454628
142564,FL,NASSAU COUNTY,0,28898.3,0,0,28898.3,36004.04,0,0,0,0,30.61945,-81.465965
197782,FL,NASSAU COUNTY,0,1505741.49,0,0,1505741.49,2197471.6,0,0,0,0,30.610081,-81.446259
709787,FL,NASSAU COUNTY,0,53078.59,0,0,53078.59,62305.99,0,0,0,0,30.610081,-81.446259
655065,FL,NASSAU COUNTY,0,162952.72,0,0,162952.72,185883.43,0,0,0,0,30.67044,-81.46572
176778,FL,NASSAU COUNTY,0,2261249.55,0,0,2261249.55,1825782.64,0,0,0,0,30.671413,-81.464905
559179,FL,NASSAU COUNTY,0,1363101.75,0,0,1363101.75,1619364.87,0,0,0,0,30.65501,-81.45117
698071,FL,NASSAU COUNTY,0,295716.54,0,0,295716.54,247758.41,0,0,0,0,30.665545,-81.43205
642950,FL,NASSAU COUNTY,0,392231.24,0,0,392231.24,344336.66,0,0,0,0,30.63862,-81.43702
477240,FL,NASSAU COUNTY,0,192917.17,0,0,192917.17,238214.12,0,0,0,0,30.66665,-81.45235
672348,FL,NASSAU COUNTY,0,168339.59,0,0,168339.59,269983.03,0,0,0,0,30.63833,-81.44564
922844,FL,NASSAU COUNTY,0,316029.52,0,0,316029.52,337216.14,0,0,0,0,30.617874,-81.457794
948580,FL,NASSAU COUNTY,0,151505.63,0,0,151505.63,185310.32,0,0,0,0,30.67069,-81.458395
364552,FL,NASSAU COUNTY,0,280565.98,0,0,280565.98,329505.66,0,0,0,0,30.65838,-81.46358
561601,FL,NASSAU COUNTY,0,460128.2,0,0,460128.2,792672.06,0,0,0,0,30.671312,-81.46492
584749,FL,NASSAU COUNTY,0,324000,0,324000,324000,506745.07,0,9720,0,0,30.626793,-81.485847
601327,FL,COLUMBIA COUNTY,212850,212850,212850,212850,212850,340143.88,0,0,0,0,29.925,-82.7109
302578,FL,COLUMBIA COUNTY,135000,135000,135000,135000,135000,150719.13,0,0,0,0,29.9248,-82.71114
756585,FL,COLUMBIA COUNTY,94284,94284,94284,94284,94284,100714.17,0,0,0,0,29.90334,-82.63364
